"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'tot_cur_bal', 'loan_amnt', 'open_acc')",0.635587143580226
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'tot_cur_bal', 'open_acc')",0.6309684494685338
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc')",0.6191580900961701
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'loan_amnt')",0.6283322085372026
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'loan_amnt', 'open_acc')",0.6322338451155728
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'open_acc')",0.6257170575333221
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'tot_cur_bal')",0.6291758056352286
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'tot_cur_bal', 'loan_amnt')",0.6360511219841404
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'tot_cur_bal', 'loan_amnt', 'open_acc')",0.6400582081997638
"('annual_inc', 'revol_util', 'int_rate', 'revol_bal', 'total_acc', 'tot_cur_bal', 'open_acc')",0.6342795680782858
"('annual_inc', 'revol_util', 'int_rate', 'tot_cur_bal')",0.6127467521511726
"('annual_inc', 'revol_util', 'int_rate', 'tot_cur_bal', 'loan_amnt')",0.6275940610764299
"('annual_inc', 'revol_util', 'int_rate', 'tot_cur_bal', 'loan_amnt', 'open_acc')",0.6335414206175131
"('annual_inc', 'revol_util', 'int_rate', 'tot_cur_bal', 'open_acc')",0.6242618525392273
"('annual_inc', 'revol_util', 'int_rate', 'total_acc')",0.6090771047747596
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'loan_amnt')",0.6221317698667117
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'loan_amnt', 'open_acc')",0.6298085034587481
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'open_acc')",0.6194955289353805
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'tot_cur_bal')",0.6230386367470896
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'tot_cur_bal', 'loan_amnt')",0.6317909566391091
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'tot_cur_bal', 'loan_amnt', 'open_acc')",0.6388560823350767
"('annual_inc', 'revol_util', 'int_rate', 'total_acc', 'tot_cur_bal', 'open_acc')",0.6322549350430234
"('annual_inc', 'revol_util', 'loan_amnt')",0.5433187109836343
"('annual_inc', 'revol_util', 'loan_amnt', 'open_acc')",0.5546229120971824
"('annual_inc', 'revol_util', 'open_acc')",0.5187278555761768
"('annual_inc', 'revol_util', 'revol_bal')",0.5241690568584444
"('annual_inc', 'revol_util', 'revol_bal', 'loan_amnt')",0.5579340307069344
"('annual_inc', 'revol_util', 'revol_bal', 'loan_amnt', 'open_acc')",0.577821832292897
"('annual_inc', 'revol_util', 'revol_bal', 'open_acc')",0.5437405095326472
"('annual_inc', 'revol_util', 'revol_bal', 'tot_cur_bal')",0.5430023620718745
"('annual_inc', 'revol_util', 'revol_bal', 'tot_cur_bal', 'loan_amnt')",0.5755441201282268
"('annual_inc', 'revol_util', 'revol_bal', 'tot_cur_bal', 'loan_amnt', 'open_acc')",0.5910873966593555
"('annual_inc', 'revol_util', 'revol_bal', 'tot_cur_bal', 'open_acc')",0.5606968112029694
"('annual_inc', 'revol_util', 'revol_bal', 'total_acc')",0.5279019740172094
"('annual_inc', 'revol_util', 'revol_bal', 'total_acc', 'loan_amnt')",0.5668550700185592
"('annual_inc', 'revol_util', 'revol_bal', 'total_acc', 'loan_amnt', 'open_acc')",0.5862156234182554
"('annual_inc', 'revol_util', 'revol_bal', 'total_acc', 'open_acc')",0.5522819301501602
"('annual_inc', 'revol_util', 'revol_bal', 'total_acc', 'tot_cur_bal')",0.5489708115404083
